0	0	3	0	0	0	7	1	22	36	36	10	36	38	0	14	0	0	22	22	0	0	0	22	0	32	32	24	0	3	29	0	0	3	0	32	22	0	0	38	
1	1	1	2	1	4	7	1	22	36	36	10	36	38	0	14	1	0	22	22	1	0	0	22	0	34	28	26	1	1	1	1	0	2	2	34	22	0	0	38	
3	2	2	2	2	4	2	2	22	36	36	14	36	38	32	14	21	23	2	22	21	3	2	2	32	34	2	26	2	2	2	2	2	2	2	34	2	2	32	38	
3	2	3	3	2	4	3	2	3	36	36	10	36	38	3	14	21	20	3	22	21	3	3	22	3	32	34	24	3	3	29	34	3	3	3	32	3	3	3	38	
4	4	4	2	4	4	7	4	22	36	36	10	36	38	32	14	4	4	22	22	4	4	0	22	32	34	4	26	4	4	4	2	2	4	4	34	22	2	32	38	
5	4	4	2	5	5	5	6	22	36	14	14	36	38	24	14	5	0	22	22	5	0	0	22	34	6	28	26	6	6	6	28	2	4	6	34	22	2	32	38	
1	7	6	6	7	6	6	6	22	34	14	14	34	34	24	14	21	23	6	22	21	3	6	2	34	6	28	26	6	6	6	28	6	6	6	34	6	6	34	34	
1	7	7	2	7	6	7	7	22	36	14	14	36	38	24	14	21	23	22	22	1	3	7	22	34	7	7	26	7	7	7	28	7	7	7	34	7	7	32	38	
22	0	22	8	0	0	22	22	8	8	11	8	8	8	15	9	8	18	8	8	18	20	8	8	8	13	15	15	8	8	31	25	36	36	8	38	8	36	8	8	
22	0	36	36	0	0	34	36	9	9	9	10	9	12	15	9	9	18	9	9	9	20	36	9	12	12	15	15	38	38	27	38	36	36	9	9	9	36	9	9	
22	0	36	36	0	6	34	34	11	10	10	10	10	12	10	10	10	18	10	10	10	22	36	10	14	24	10	10	24	24	10	26	36	36	24	14	10	36	14	12	
22	0	32	36	0	6	34	34	11	10	11	11	10	12	11	10	8	18	8	8	18	20	36	10	14	24	11	11	24	24	27	26	14	36	24	14	10	36	14	12	
22	0	36	36	0	0	34	36	12	12	12	10	12	12	15	12	12	18	12	12	12	22	36	12	12	12	27	13	12	12	31	38	36	36	12	38	12	36	12	12	
38	0	32	38	2	4	34	32	13	12	12	10	13	13	13	14	19	13	13	13	39	38	38	36	13	13	27	13	13	13	31	25	38	32	13	13	13	38	13	13	
14	0	32	14	2	6	34	34	9	15	14	14	15	14	14	14	19	14	14	13	39	38	38	36	14	24	14	14	24	24	27	26	14	32	24	14	14	38	14	14	
14	0	32	14	2	6	34	34	9	15	15	10	15	14	15	15	15	15	12	15	12	22	36	12	14	24	15	15	24	24	27	26	14	32	24	14	12	38	14	12	
16	16	3	21	16	16	3	2	16	16	16	8	16	19	13	16	16	16	19	16	16	16	23	17	39	17	27	19	35	35	31	17	16	32	35	17	17	17	39	19	
17	0	23	21	17	0	2	22	18	18	18	8	18	17	17	17	17	17	17	18	17	20	23	17	37	17	25	39	35	35	31	17	23	23	35	17	17	17	37	17	
